[n]	[m]	[probability]
718	733	0.409804
719	1131	0.342405
720	1265	0.429988
721	748	0.398682
722	1309	0.666461
723	796	0.397265
724	1108	0.768954
725	657	0.249870
726	1152	0.957334
727	398	0.626451
728	1207	0.479608
729	1265	0.479933
730	1218	0.549995
731	740	0.338476
732	818	0.411211
733	1188	0.484673
734	398	0.794510
735	1390	0.334053
736	914	0.541712
737	756	0.313884
738	1224	0.428799
739	1417	0.479458
740	1318	0.335223
741	776	0.263294
742	1263	0.420879
743	1228	0.539090
744	1207	0.422339
745	666	0.829395
746	319	0.187712
747	886	0.643236
748	441	0.625498
749	1139	0.574193
750	706	0.661202
751	952	0.704786
752	734	0.718286
753	1241	0.973046
754	1263	0.628156
755	970	0.493951
756	671	0.289226
757	634	0.578452
758	864	0.835619
759	802	0.341260
760	938	0.880536
761	970	0.835499
762	1337	0.797091
763	705	0.429906
764	1337	0.852022
765	402	0.516860
766	843	0.921572
767	1313	0.459240
768	568	0.579647
769	1426	0.405489
770	1112	0.970517
771	1224	0.473955
772	1263	0.564853
773	984	0.475357
774	1054	0.577352
775	1241	0.906852
776	1300	0.985391
777	1152	0.908038
778	1218	0.578741
779	588	0.426178
780	705	0.755101
781	989	0.716558
782	417	0.450674
783	1218	0.369555
784	1077	0.631919
785	632	0.352763
786	1361	0.411397
787	958	0.510192
788	1371	0.994796
789	427	0.616052
790	1337	0.438297
791	634	0.580735
792	1262	0.374157
793	908	0.674934
794	532	0.244651
795	1417	0.867032
796	579	0.302911
797	1411	0.519845
798	1417	0.758705
799	1371	0.990551
800	1076	0.365455
801	1410	0.384273
802	866	0.656640
803	1035	0.365663
804	568	0.606317
805	444	0.474946
806	1077	0.695095
807	1273	0.591392
808	843	0.407199
809	532	0.462796
810	1360	0.485052
811	1152	0.604924
812	1401	0.917799
813	1096	0.409930
814	799	0.411403
815	1350	0.432924
816	1110	0.437577
817	1166	0.590768
818	1459	0.512150
819	966	0.349157
820	961	0.587147
821	724	0.796172
822	1313	0.691943
823	1110	0.433270
824	1263	0.427236
825	918	0.560399
826	1096	0.374998
827	1102	0.763062
828	1110	0.481002
829	575	0.320557
830	1273	0.704830
831	1076	0.519860
832	1333	0.366226
833	417	0.863748
834	1017	0.866127
835	1017	0.775752
836	467	0.305281
837	467	0.305281
838	566	0.287624
839	1401	0.915248
840	1333	0.473320
841	1459	0.454545
842	1360	0.461874
843	1353	0.578155
844	1102	0.933346
845	1096	0.353151
846	1330	0.548213
847	993	0.785336
848	1076	0.335359
849	1300	0.962931
850	965	0.501052
851	966	0.292040
852	1342	0.331948
853	1273	0.724335
854	1054	0.952925
855	1411	0.454874
856	579	0.400007
857	1372	0.539505
858	1333	0.614184
859	444	0.530578
860	1112	0.964115
861	705	0.420920
862	484	0.395530
863	1273	0.521170
864	1466	0.444687
865	1077	0.720268
866	1638	0.630187
867	1156	0.930380
868	634	0.298266
869	417	0.941311
870	497	0.608906
871	563	0.773551
872	1054	0.518070
873	1511	0.381474
874	1469	0.532576
875	1412	0.459668
876	738	0.343087
877	705	0.801719
878	1466	0.365402
879	1412	0.464985
880	1457	0.291660
881	973	0.813169
882	1191	0.727348
883	1375	0.318383
884	1504	0.929087
885	944	0.709721
886	1504	0.760863
887	1257	0.632273
888	634	0.357474
889	1466	0.307723
890	918	0.754007
891	1175	0.447754
892	507	0.661029
893	1437	0.473434
894	1375	0.279154
895	1562	0.954276
896	534	0.371922
