[n]	[m]	[probability]
1348	1384	0.309695
1349	1361	0.991402
1350	1503	0.283670
1351	2080	0.592697
1352	1384	0.404045
1353	1599	0.244654
1354	786	0.299797
1355	1535	0.401149
1356	1334	0.416875
1357	1617	0.258375
1358	1540	0.292430
1359	1553	0.313062
1360	1494	0.476957
1361	1609	0.435794
1362	1751	0.177129
1363	906	0.266396
1364	1379	0.312055
1365	1780	0.235501
1366	1266	0.143155
1367	1622	0.168399
1368	1858	0.581454
1369	906	0.381567
1370	1202	0.343768
1371	1436	0.426603
1372	1654	0.303489
1373	1619	0.386205
1374	1545	0.307644
1375	1858	0.504728
1376	2181	0.276566
1377	1517	0.259005
1378	1517	0.209638
1379	1361	1.000000
1380	1289	0.652135
1381	1711	0.369649
1382	1485	0.317190
1383	1236	0.227751
1384	1343	0.430113
1385	1762	0.200402
1386	1549	0.512513
1387	990	0.253060
1388	1361	0.904835
1389	2348	1.000000
1390	1565	0.406440
1391	1467	0.386060
1392	1572	0.162129
1393	1636	0.339667
1394	1657	0.265141
1395	1565	0.501063
1396	1589	0.504102
1397	1236	0.250913
1398	1517	0.226959
1399	1711	0.265713
1400	1548	0.634167
1401	2458	1.000000
1402	1654	0.285021
1403	1461	0.384622
1404	1597	0.478986
1405	1576	0.422754
1406	1597	0.357320
1407	1763	0.387504
1408	2215	0.269061
1409	1667	0.325803
1410	1675	0.374374
1411	2080	0.719816
1412	1519	0.416995
1413	1695	0.373767
1414	1439	0.215900
1415	1552	0.284954
1416	1692	0.366300
1417	2215	0.271311
1418	1785	0.172215
1419	1517	0.315632
1420	1759	0.359615
1421	1644	0.184683
1422	1619	0.742128
1423	1978	0.465491
1424	1619	0.477379
1425	1638	0.525539
1426	1289	0.488119
1427	1690	0.470236
1428	1595	0.254361
1429	1748	0.638590
1430	1499	0.260487
1431	1690	0.256942
1432	1612	0.507519
1433	1810	0.822178
1434	1701	0.514507
1435	1463	0.305762
1436	1776	0.492373
1437	1705	0.305304
1438	1864	0.218904
1439	1746	0.260993
1440	1695	0.398180
1441	1441	0.418124
1442	1595	0.313677
