[n]	[m]	[probability]
507	760	0.462905
508	628	0.654404
509	618	0.399601
510	758	0.473608
511	499	0.487747
512	538	0.510502
513	760	0.456294
514	515	0.913895
515	914	0.584617
516	644	0.578065
517	511	0.461872
518	517	0.527719
519	959	0.743556
520	593	0.499918
521	528	0.659393
522	432	0.248321
523	642	0.269761
524	618	0.336161
525	607	0.727916
526	914	0.405262
527	959	0.461742
528	914	0.426010
529	780	0.397744
530	597	0.342949
531	597	0.383210
532	644	0.560235
533	644	0.594114
534	517	0.406327
535	522	0.644288
536	417	0.422435
537	517	0.442044
538	820	0.765880
539	864	0.505633
540	864	0.505633
541	553	0.239638
542	528	0.561185
543	864	0.455239
544	524	0.729257
545	517	0.391525
546	659	0.477766
547	400	0.365392
548	618	0.293099
549	820	0.398643
550	512	0.562406
551	922	0.305888
552	432	0.374299
553	495	0.497178
554	780	0.317743
555	703	0.409898
556	1013	0.237409
557	963	0.309515
558	771	0.240511
559	938	0.461606
560	825	0.615994
561	576	0.547243
562	921	0.345003
563	963	0.444905
564	484	0.342817
565	417	0.377470
566	593	0.995141
567	564	0.471061
568	938	0.281706
569	581	0.638091
570	963	0.505336
571	502	0.483425
572	963	0.394683
573	528	0.495740
574	530	0.686172
575	938	0.580623
576	444	0.329803
577	963	0.461589
578	659	0.511959
579	530	0.784882
580	674	0.348254
581	659	0.530086
582	525	0.478198
583	843	0.540572
584	530	0.602602
585	963	0.472678
586	963	0.398538
587	591	0.938099
588	564	0.544091
589	533	0.472472
590	576	0.253668
591	856	0.902278
592	581	0.450530
593	654	0.255014
594	480	0.753156
595	742	0.459391
596	490	0.403179
597	938	0.777562
598	480	0.886609
599	921	0.685896
600	674	0.386718
601	1024	0.437055
602	714	0.208502
603	687	0.407031
604	835	0.229603
605	753	0.510008
606	649	0.200271
607	593	0.967925
608	753	0.446322
609	1071	0.437968
610	450	0.401063
611	934	0.601330
612	997	0.459999
613	783	0.553267
614	856	0.723321
615	1053	0.435973
616	737	0.338959
617	1071	0.452754
618	1024	0.486271
619	685	0.460840
620	812	0.287073
621	1242	0.484909
622	593	0.725293
623	1288	0.330741
624	1216	0.423911
625	1250	0.554266
626	419	0.218144
627	420	0.323377
628	1217	0.669131
629	1250	0.514328
630	912	0.482459
631	1333	0.532698
632	1328	0.955567
633	675	0.666530
634	1288	0.496653
635	921	0.407716
636	1293	0.551318
637	1293	0.624454
638	1288	0.401362
639	1328	0.402163
640	728	0.622188
641	1053	0.408392
642	1193	0.515262
643	1216	0.786755
644	420	0.374416
645	751	0.404981
646	531	0.372939
647	1234	0.704763
648	1289	0.535501
649	1322	0.418705
650	593	0.504669
651	1222	0.436014
652	742	0.198369
653	894	0.506597
654	1289	0.532839
655	480	0.659164
656	1333	0.598067
657	1256	0.688698
658	420	0.226995
659	1053	0.554522
660	812	0.661338
661	1441	0.413315
662	737	0.469427
663	935	0.476101
664	1416	0.454660
665	1387	0.251019
666	1256	0.755116
667	1258	0.616306
668	531	0.633840
669	1053	0.394010
670	992	0.317870
671	793	0.493030
672	1296	0.613667
673	569	0.417364
674	1043	0.312835
675	1454	0.661803
676	586	0.515583
677	418	0.169328
678	737	0.354247
679	1071	0.498867
680	637	0.721535
681	585	0.680825
682	1411	0.285193
683	770	0.786223
684	585	0.766096
685	631	0.364236
686	586	0.703659
687	1043	0.340930
688	716	0.741508
689	1228	0.317023
690	605	0.257776
691	1256	0.593385
692	586	0.727055
693	735	0.850320
694	958	0.579659
695	738	0.352227
696	1258	0.588634
697	1279	0.340389
698	788	0.294370
699	737	0.382233
700	735	0.719116
701	1446	0.590735
702	770	0.735621
703	1193	0.154822
704	751	0.355640
705	1608	0.467407
706	770	0.890748
707	605	0.341297
708	630	0.368744
709	1309	0.569351
710	1038	0.602037
711	775	0.344296
712	1279	0.598563
713	1309	0.594002
714	806	0.383264
715	778	0.346876
716	1296	0.480229
717	793	0.351404
718	1078	0.379099
719	1628	0.766278
720	679	0.407995
721	1309	0.716130
722	527	0.374905
723	616	0.334293
724	1653	0.229395
725	1348	0.790275
726	1236	0.271897
727	1305	0.735007
728	585	0.326042
729	793	0.348684
730	1078	0.404058
731	616	0.361718
732	589	0.224380
733	1307	0.613997
734	653	0.322912
735	810	0.366269
736	735	0.603235
737	454	0.335470
738	1353	0.458566
739	605	0.285902
740	1307	0.513605
741	1307	0.513605
742	1627	0.511169
743	1628	0.814662
744	999	0.742239
745	1307	0.633715
746	812	0.485086
747	1312	0.670447
748	1307	0.402880
749	1307	0.402880
750	1323	0.399485
751	1379	0.424702
752	704	0.234234
753	1669	0.505151
754	776	0.557793
755	1341	0.570005
756	631	0.557910
757	1287	0.559297
758	527	0.487505
759	997	0.242265
760	656	0.322846
761	608	0.197858
762	1648	0.428433
763	1038	0.370836
764	527	0.502594
765	862	0.340899
766	704	0.483100
767	1554	0.624330
768	1614	0.396963
769	999	0.441166
770	1194	0.609067
771	656	0.299062
772	702	0.682815
773	1348	0.511866
774	1030	0.167453
775	1030	0.167453
776	1669	0.507974
777	776	0.547403
778	827	0.351695
779	615	0.200428
780	1341	0.434311
781	704	0.490892
782	819	0.456126
783	896	0.346880
784	735	0.608006
785	1305	0.797294
786	1553	0.311374
787	1319	0.377303
788	1554	0.651024
789	999	0.675165
790	1553	0.349887
791	702	0.682808
792	1348	0.471437
793	1669	0.456968
794	1566	0.323062
795	1287	0.466046
796	1362	0.352455
797	1669	0.360957
798	1255	0.904635
799	573	0.409016
800	1162	0.558658
801	1716	0.276139
802	1457	0.466751
803	1094	0.527034
804	1129	0.278018
805	776	0.569641
806	702	0.358884
807	1489	0.641639
808	781	0.432274
809	813	0.548602
810	935	0.484846
811	929	0.463735
812	1758	0.545583
813	1457	0.472993
814	831	0.231135
815	734	0.244663
816	568	0.439141
817	776	0.413194
818	596	0.379770
819	1095	0.608435
820	1566	0.429190
821	756	0.462104
822	1378	0.306358
823	596	0.425726
824	578	0.327494
825	1706	0.374401
826	568	0.516938
827	1489	0.442765
828	1341	0.406012
829	817	0.519838
830	972	0.670783
831	744	0.490895
832	716	0.481806
833	1457	0.538247
834	999	0.622603
835	1078	0.773296
836	689	0.429387
837	736	0.605960
838	592	0.242319
839	883	0.270727
840	527	0.419617
841	492	0.360580
842	592	0.306034
843	1151	0.230110
844	1339	0.456682
845	785	0.467786
846	744	0.342316
847	492	0.513338
848	1295	0.762798
849	986	0.612016
850	1395	0.307087
851	1017	0.411625
852	1535	0.339943
853	972	0.338615
854	736	0.480465
855	929	0.905345
856	1698	0.309271
857	842	0.372615
858	744	0.600908
859	454	0.271132
860	501	0.516905
861	501	0.537394
862	1323	0.331736
863	1323	0.393372
864	1378	0.543194
865	862	0.358544
866	950	0.887805
867	478	0.643563
868	1381	0.490179
869	800	0.487424
870	1028	0.808039
871	1381	0.465479
872	1381	0.465479
873	1381	0.465479
874	920	0.507467
875	786	0.842210
876	1381	0.306355
877	1426	0.837539
878	842	0.596300
879	813	0.472483
880	583	0.514697
881	526	0.572155
882	1772	0.400665
883	1381	0.355704
884	1418	0.510508
885	1698	0.319772
886	1378	0.393647
887	1223	0.510427
888	583	0.628620
889	1412	0.335866
890	744	0.634612
891	889	0.243155
892	889	0.208413
893	1697	0.603069
894	1528	0.318598
895	695	0.417453
896	1833	0.376106
897	1429	0.437461
898	791	0.415044
899	1028	0.903841
900	890	0.226711
901	1523	0.258589
902	1479	0.382960
903	965	0.299478
904	1093	0.280901
905	1897	0.383076
906	1652	0.682272
907	1128	0.350965
908	1548	0.495088
909	1429	0.547274
910	973	0.372605
911	920	0.434650
912	948	0.458474
913	785	0.489123
914	1383	0.488652
915	1141	0.630994
916	929	0.825053
917	1383	0.568254
918	1519	0.322697
919	601	0.600951
920	1525	0.311153
921	1320	0.423770
922	1429	0.311367
923	1959	0.610035
924	857	0.343022
925	1522	0.304926
926	1267	0.524145
927	1646	0.328420
928	859	0.249671
929	789	0.527380
930	1548	0.399146
931	823	0.424702
932	1045	0.375195
933	948	0.558880
934	929	0.488528
935	1474	0.360473
936	1268	0.456675
937	634	0.458660
938	509	0.381423
939	1586	0.429128
940	823	0.497714
941	1576	0.506064
942	1161	0.434342
943	948	0.725486
944	978	0.692110
945	1365	0.546723
946	1576	0.558470
947	1426	0.916098
948	1539	0.399685
949	1622	0.665893
950	1552	0.348888
951	725	0.400585
952	1728	0.609515
953	857	0.336669
954	1189	0.728013
955	1485	0.271053
956	1833	0.568089
957	509	0.520803
958	948	0.432861
959	713	0.419278
960	661	0.277600
961	1267	0.360632
