[n]	[m]	[probability]
526	447	0.391914
527	524	0.231808
528	561	0.428511
529	447	0.421805
530	626	0.343258
531	457	0.440027
532	773	0.409285
533	883	0.441977
534	665	0.464783
535	524	0.588583
536	447	0.364774
537	609	0.241316
538	517	0.219113
539	532	0.287412
540	447	0.463806
541	472	0.321578
542	412	0.499731
543	685	0.243068
544	665	0.432828
545	602	0.308157
546	743	0.485911
547	602	0.352194
548	508	0.455952
549	475	0.307688
550	773	0.514780
551	508	0.397594
552	509	0.290562
553	563	0.184356
554	761	0.243983
555	562	0.205971
556	425	0.310557
557	412	0.621148
558	523	0.362521
559	832	1.000000
560	784	0.296781
561	791	0.515062
562	791	0.296483
563	732	0.281550
564	509	0.288781
565	634	0.447654
566	726	0.314717
567	649	0.618531
568	560	0.199398
569	546	0.370714
570	486	0.204060
571	589	0.213253
572	832	1.000000
573	813	1.000000
574	561	0.273981
575	580	0.917934
576	696	0.289213
577	647	0.231781
578	450	0.348939
579	524	0.482826
580	841	0.300370
581	851	0.719364
582	929	0.347996
583	589	0.222520
584	540	0.643449
585	753	0.242409
586	499	0.344345
587	469	0.159522
588	577	0.282091
589	508	0.514490
590	842	0.538142
591	543	0.215822
592	812	0.672535
593	472	0.688362
594	842	0.479908
595	735	0.381149
596	583	0.377393
597	602	0.329589
598	542	0.546116
599	718	0.327725
600	832	1.000000
601	739	0.178353
602	850	0.307317
603	713	0.354943
604	412	0.803036
605	850	0.334930
606	435	0.569490
607	842	0.558173
608	536	0.197183
609	871	0.335510
610	638	0.338572
611	412	0.837354
612	487	0.357939
613	667	0.685300
614	412	0.785325
615	512	0.366889
616	705	0.387185
617	709	0.153309
618	713	0.446746
619	742	0.353902
620	515	0.212417
621	832	1.000000
622	472	0.672315
623	543	0.345936
624	812	0.508207
625	824	0.660487
626	832	1.000000
627	723	0.163266
628	804	0.426714
629	435	0.438773
630	865	0.583851
631	490	0.612727
632	809	0.405616
633	854	0.452834
634	622	0.856176
635	804	0.412809
636	816	0.408185
637	540	0.386436
638	500	0.318177
639	871	0.326850
640	893	0.186923
641	860	0.329478
642	713	0.430565
643	603	0.171055
644	705	0.730969
645	679	0.323386
646	542	0.600812
647	500	0.271997
648	555	0.256780
649	672	0.407300
650	636	0.376124
651	537	0.206616
652	622	0.966853
653	832	1.000000
654	848	0.552493
655	540	0.399667
656	813	1.000000
657	505	0.233745
658	887	0.277995
659	525	0.230757
660	788	0.320926
661	798	0.373143
662	936	0.602449
663	798	0.601495
664	636	0.372429
665	790	0.302001
666	537	0.182839
667	798	0.613176
668	490	0.327917
669	912	0.350437
670	667	0.508702
671	525	0.236307
672	545	0.431205
673	612	0.286839
674	720	0.351406
675	720	0.351406
676	633	0.464824
677	819	0.243900
678	673	0.463498
679	819	0.193103
680	774	0.244929
681	790	0.265725
682	817	0.240868
683	636	0.339956
684	705	0.605600
685	705	0.273965
686	819	0.228655
687	545	0.430824
688	606	0.302194
689	667	0.457264
690	706	0.636950
691	614	0.283947
692	960	1.000000
693	960	0.745680
694	713	0.288780
695	949	0.194056
696	770	0.160579
697	798	0.370636
698	546	0.463091
699	620	0.317452
700	880	0.519273
701	893	0.463766
702	766	0.170804
703	817	0.424006
704	544	0.576096
705	912	0.336100
706	412	0.379825
707	633	0.450942
708	487	0.431111
709	620	0.213231
710	762	0.402828
711	606	0.346767
712	673	0.196599
713	832	1.000000
714	724	0.289670
715	960	0.777543
716	928	0.352816
717	673	0.366217
718	592	0.393873
719	887	0.203453
720	778	0.199673
721	412	0.548256
722	713	0.605811
723	533	0.361309
724	1018	0.490993
725	724	0.633946
726	890	0.374177
727	762	0.400195
728	912	0.331110
729	821	0.203294
730	917	0.197371
731	606	0.446253
732	622	0.627844
733	951	0.443773
734	633	0.348437
735	832	1.000000
736	622	0.523997
737	734	0.299159
738	880	0.449537
739	883	0.320327
740	1041	0.294280
741	597	0.643675
742	942	0.293358
743	893	0.389022
744	919	0.365312
745	594	0.891934
746	662	0.126307
747	706	0.784494
748	875	0.229038
749	929	0.354393
750	876	0.507174
751	549	0.796141
752	705	0.436599
753	1073	0.346292
754	1098	0.415819
755	886	0.467032
756	967	0.290799
757	967	0.258783
758	553	0.207260
759	606	0.463465
760	530	0.490473
761	714	0.660949
762	879	0.290290
763	935	0.391415
764	879	0.232257
765	852	0.140646
766	866	0.324135
767	1061	0.322304
768	831	0.201515
769	904	1.000000
770	847	0.411247
771	991	0.219248
772	1043	0.252483
773	611	0.372828
774	594	0.523670
775	1073	0.411814
776	1152	0.763633
777	890	0.590704
778	985	0.217106
779	895	0.243649
780	935	0.426847
781	553	0.397418
782	682	0.150048
783	1004	0.190937
784	594	0.366710
785	1024	0.419424
786	1021	1.000000
787	970	0.579435
788	1128	0.609980
789	852	0.131244
790	879	0.450321
791	1024	0.334901
792	1043	0.396239
793	740	0.206608
794	950	0.193296
795	1128	0.610282
796	976	0.223303
797	1047	0.329467
798	1128	0.638157
799	1128	0.595052
800	818	0.564450
801	1021	1.000000
802	876	0.398189
803	669	0.455827
804	1030	0.336606
805	682	0.163412
806	629	0.347513
807	890	0.835688
808	781	0.326659
809	937	0.226282
810	1164	0.383039
811	914	0.660912
812	1097	0.436800
813	669	0.589423
814	642	0.477979
815	1186	0.526345
816	669	0.392027
817	987	0.636451
818	1061	0.586252
819	688	0.654153
820	921	0.497531
821	1003	0.393647
822	1042	0.341360
823	669	0.304181
824	1130	0.277102
825	947	0.359442
826	669	0.664953
827	656	0.392012
828	669	0.447881
829	923	0.392177
830	890	0.807428
831	958	0.351311
832	1130	0.399087
833	744	0.163766
834	886	0.507633
835	886	0.510052
836	873	0.156712
837	873	0.156712
838	923	0.319570
839	1143	0.491532
840	1130	0.430897
841	1061	0.588741
842	1164	0.382432
843	1164	0.366851
844	656	0.430573
845	669	0.718998
846	1132	0.532589
847	1006	0.273285
848	958	0.420848
849	1152	0.888149
850	592	0.261597
851	688	0.665230
852	1117	0.314072
853	890	0.395503
854	594	0.679055
855	904	1.000000
856	994	0.307239
857	1117	0.341199
858	1130	0.412180
859	661	0.152698
860	837	0.499293
861	1011	0.252048
862	959	0.203348
863	1152	0.512527
864	1205	0.249706
865	629	0.449289
866	1021	1.000000
867	1112	0.375404
868	1030	0.302001
869	823	0.192607
870	979	0.199766
871	1172	0.276033
872	629	0.453463
873	1109	0.407421
874	847	0.378706
875	1193	0.329699
876	1121	0.231208
877	1003	0.245770
878	1262	0.239874
879	1318	0.277555
880	1143	0.434197
881	961	0.353765
882	666	0.882531
883	1117	0.349803
884	987	0.609712
885	737	0.278742
886	1066	0.522272
887	776	0.238661
888	1065	0.288580
889	1205	0.212821
890	1070	0.289430
891	958	0.365985
892	1144	0.248588
893	1176	0.328996
894	1117	0.374314
895	1153	0.492868
896	1057	0.395138
897	733	0.396067
898	670	0.139019
899	1006	0.341395
900	1132	0.601693
901	1075	0.609742
902	1143	0.595737
903	1262	0.229125
904	779	0.477648
905	642	0.530945
906	1262	0.260444
907	686	0.365826
908	958	0.408649
909	711	0.297007
910	1246	0.217301
911	1026	0.345963
912	1058	0.173131
913	1019	0.405813
914	1371	0.473713
915	835	0.207409
916	1251	0.343902
917	1062	0.321119
918	1190	0.271062
919	1066	0.425314
920	1165	0.426316
921	629	0.442309
922	1180	0.174224
923	1027	0.249837
924	629	0.390980
925	987	0.869197
926	1076	0.333710
927	1095	0.611982
928	1025	1.000000
929	840	0.162507
930	1156	0.516667
931	835	0.205824
932	1189	0.262677
933	1058	0.187262
934	1332	0.338636
935	1246	0.306078
936	927	0.416720
937	1153	0.566162
938	1095	0.239082
939	759	0.245368
940	1065	0.210649
941	1123	0.279215
942	973	0.464218
943	1265	0.458578
944	1152	0.493964
945	1183	0.801891
946	1017	0.600233
947	1085	0.293592
948	692	0.763308
949	1158	0.243174
950	1122	0.218893
951	749	0.266284
952	1123	0.448518
953	758	0.161685
954	927	0.495500
955	740	0.246816
956	820	0.657140
957	1075	0.481964
