[n]	[m]	[probability]
958	7322	0.492174
959	7348	0.625972
960	35367	0.440577
961	7315	0.478461
962	35396	0.298982
963	35213	0.220104
964	35218	0.253824
965	35476	0.256103
966	7309	0.405819
967	35786	0.257078
968	35182	0.217383
969	35187	0.349957
970	7281	0.323983
971	7165	0.262026
972	35598	0.357386
973	35458	0.450407
974	35800	0.380713
975	35601	0.342137
976	35548	0.471060
977	7183	0.299715
978	7302	0.513404
979	35212	0.225291
980	35108	0.215430
981	7200	0.413104
982	35564	0.210204
983	35295	0.384920
984	35182	0.185028
985	35232	0.192100
986	35458	0.697149
987	35461	0.534397
988	7348	0.585725
989	7347	0.833032
990	35168	0.259989
991	35655	0.384772
992	7366	0.301663
993	35561	0.419686
994	35564	0.258170
995	35507	0.513422
996	7205	0.263665
997	35591	0.258747
998	35307	0.238669
999	35309	0.312201
1000	35716	0.373688
1001	35014	0.229490
1002	35465	0.211725
1003	7288	0.529182
1004	35554	0.351294
1005	35441	0.372524
1006	7151	0.531222
1007	7190	0.864507
1008	35216	0.252869
1009	35473	0.520091
1010	7095	0.228994
1011	7128	0.461027
1012	35338	0.282261
1013	7318	0.398256
1014	35406	0.235345
1015	35260	0.223471
1016	7176	0.210267
1017	35536	0.382573
1018	35374	0.224662
1019	35286	0.273027
1020	7353	0.199613
1021	35344	0.182692
1022	35455	0.291986
1023	35387	0.364063
1024	35522	0.394211
1025	35750	0.477863
1026	7363	0.422754
1027	35545	0.334061
1028	35605	0.599810
1029	35241	0.514029
1030	7327	0.357967
1031	35756	0.168356
1032	35559	0.437331
1033	35699	0.373952
1034	7352	0.282218
1035	35739	0.274049
1036	7248	0.215135
1037	35304	0.282818
1038	35594	0.334722
1039	7284	0.285098
1040	35800	0.511120
1041	7169	0.426021
1042	35243	0.241515
1043	7255	0.314161
1044	7173	0.369675
1045	7319	0.598942
1046	35533	0.255168
1047	35488	0.232248
1048	7384	0.746173
1049	35464	0.302027
1050	7303	0.422150
1051	35587	0.676408
1052	35629	0.303757
1053	7227	0.231593
1054	35341	0.287645
1055	7357	0.201633
1056	7311	0.313757
1057	35305	0.254705
1058	7229	0.231766
1059	35519	0.244128
1060	35573	0.350722
1061	7363	0.315573
1062	35804	0.402257
1063	35678	0.635917
1064	7383	0.845222
1065	35545	0.389093
1066	35681	0.913669
1067	35646	0.401810
1068	35682	0.652466
1069	7349	0.955477
1070	35800	0.305986
1071	35648	0.491658
1072	35648	0.578236
1073	7348	0.748620
1074	7335	0.346156
1075	7329	0.240045
1076	35658	0.513446
1077	7419	0.431928
1078	35773	0.211131
1079	35796	0.570852
1080	7381	0.358872
1081	35822	0.481289
1082	35681	0.645086
1083	35474	0.461868
1084	35704	0.195771
1085	35740	0.273511
1086	7421	0.295369
1087	35537	0.215116
1088	7306	0.462204
1089	35775	0.224470
1090	35794	0.329258
1091	7238	0.348000
1092	35801	0.551359
1093	35650	0.349255
1094	35625	0.353574
1095	7331	0.342335
1096	35733	0.342563
1097	7359	0.460113
1098	35563	0.528946
1099	7278	0.231820
1100	35772	0.209920
1101	7342	0.189840
1102	35797	0.829286
1103	7379	0.620037
1104	35595	0.372707
1105	7321	0.263620
1106	35720	0.267448
1107	7348	0.526997
1108	35603	0.643326
1109	35465	0.429268
1110	35727	0.591956
1111	7356	0.246530
1112	35742	0.376365
1113	35933	0.211856
1114	35667	0.296587
1115	35669	0.164916
1116	35795	0.677070
1117	35672	0.653920
1118	35702	0.187458
1119	35956	0.282659
1120	35817	0.280390
1121	35673	0.402544
1122	35673	0.395374
1123	7440	0.350397
1124	35802	0.456390
1125	7432	0.447980
1126	35686	0.511147
1127	35722	0.252010
1128	7329	0.229946
1129	7433	0.316675
1130	35702	0.286964
1131	7403	0.293347
1132	35830	0.801277
1133	35631	0.249901
1134	35704	0.378358
1135	35814	0.319978
1136	7342	0.151124
1137	35769	0.162540
1138	7406	0.153480
1139	7396	0.337920
1140	35816	0.300608
1141	35746	0.490643
1142	7429	0.630209
1143	35752	0.785720
1144	7343	0.321731
1145	35892	0.401369
1146	7413	0.161475
1147	35824	0.218700
1148	35697	0.251072
1149	35729	0.699694
1150	35662	0.366257
1151	35736	0.403146
1152	7468	0.328518
1153	7395	0.415492
1154	35836	0.265541
1155	35866	0.190947
1156	7386	0.364296
1157	35820	0.388582
1158	35806	0.321783
1159	7364	0.361403
1160	35905	0.284293
1161	35867	0.269079
1162	35872	0.391871
1163	7430	0.321305
1164	35909	0.491238
1165	35759	0.224749
1166	7448	0.292768
1167	35701	0.234364
1168	35763	0.275032
1169	7463	0.295953
1170	35832	0.314143
1171	7360	0.361324
1172	35911	0.253343
1173	35783	0.468146
1174	35862	0.193208
1175	35840	0.227714
1176	35833	0.406950
1177	35863	0.347891
1178	35876	0.283787
1179	35863	0.306268
1180	35798	0.458768
1181	35847	0.977440
1182	35881	0.241344
1183	35900	0.605843
1184	35901	0.370124
1185	35899	0.615978
1186	7454	0.360940
1187	35784	0.173988
1188	35866	0.214739
1189	7444	0.675083
1190	35871	0.274063
1191	7475	0.389186
1192	35878	0.372165
1193	7450	0.652562
1194	35851	0.312785
1195	35852	0.320438
1196	35849	0.307982
1197	35835	0.233438
1198	35901	0.304454
1199	7482	0.433194
1200	35926	0.550584
1201	35889	0.381140
1202	35878	0.314755
1203	7451	0.529123
1204	35935	0.273098
1205	35854	0.293711
1206	35885	0.455506
1207	35923	0.266142
1208	35805	0.378511
1209	35932	0.575958
1210	7482	0.337501
1211	35952	0.223239
1212	7443	0.240690
1213	7474	0.397819
1214	7457	0.143908
1215	35886	0.356641
1216	35927	0.290339
1217	7486	0.261700
1218	7463	0.637117
1219	35937	0.276085
1220	35963	0.286476
1221	35930	0.399442
1222	7462	0.557654
1223	7457	0.230723
1224	7480	0.394741
1225	7486	0.373765
1226	35951	0.293396
1227	7484	0.267910
1228	35963	0.409414
1229	33806	0.472289
1230	33807	0.408019
1231	6467	0.552938
1232	6462	0.223702
1233	33831	0.429484
1234	33828	0.481926
1235	6481	0.379608
1236	33818	0.399033
1237	33787	0.353280
1238	33857	0.584342
1239	33799	0.366769
1240	6473	0.313485
1241	6476	0.963708
1242	6500	0.287159
1243	33884	0.481986
1244	33832	0.400121
1245	33465	0.274028
1246	6464	0.335344
1247	33824	0.402625
1248	33789	0.658213
1249	6468	0.393762
1250	33794	0.213093
1251	6478	0.384967
1252	6490	0.381039
1253	33867	0.559924
1254	33464	0.221245
1255	6484	0.842850
1256	33962	0.517573
1257	33809	0.250581
1258	33862	0.446646
1259	33877	0.361535
